LSOA11CD,LSOA11NM,WD20CD,WD20NM,LAD20CD,LAD20NM,FID
E01000066,Barking and Dagenham 011A,E05000035,Longbridge,E09000002,Barking and Dagenham,28341
E01000067,Barking and Dagenham 011B,E05000035,Longbridge,E09000002,Barking and Dagenham,28342
E01000068,Barking and Dagenham 016E,E05000035,Longbridge,E09000002,Barking and Dagenham,28343
E01000069,Barking and Dagenham 011C,E05000035,Longbridge,E09000002,Barking and Dagenham,28344
E01000070,Barking and Dagenham 011D,E05000035,Longbridge,E09000002,Barking and Dagenham,28345
E01000071,Barking and Dagenham 011E,E05000035,Longbridge,E09000002,Barking and Dagenham,28346
E01000072,Barking and Dagenham 017E,E05000036,Mayesbrook,E09000002,Barking and Dagenham,28347
E01000073,Barking and Dagenham 012B,E05000036,Mayesbrook,E09000002,Barking and Dagenham,28348
E01000074,Barking and Dagenham 012C,E05000036,Mayesbrook,E09000002,Barking and Dagenham,28349
E01000075,Barking and Dagenham 012D,E05000036,Mayesbrook,E09000002,Barking and Dagenham,28350
E01000076,Barking and Dagenham 012E,E05000036,Mayesbrook,E09000002,Barking and Dagenham,28351
E01000077,Barking and Dagenham 008F,E05000036,Mayesbrook,E09000002,Barking and Dagenham,28352
E01000078,Barking and Dagenham 007B,E05000037,Parsloes,E09000002,Barking and Dagenham,28353
E01000079,Barking and Dagenham 009E,E05000037,Parsloes,E09000002,Barking and Dagenham,28354
E01000080,Barking and Dagenham 007C,E05000037,Parsloes,E09000002,Barking and Dagenham,28355
E01000081,Barking and Dagenham 007D,E05000037,Parsloes,E09000002,Barking and Dagenham,28356
E01000082,Barking and Dagenham 007E,E05000037,Parsloes,E09000002,Barking and Dagenham,28357
E01000083,Barking and Dagenham 007F,E05000037,Parsloes,E09000002,Barking and Dagenham,28358
E01000084,Barking and Dagenham 013D,E05000038,River,E09000002,Barking and Dagenham,28359
E01000085,Barking and Dagenham 013E,E05000038,River,E09000002,Barking and Dagenham,28360
E01000086,Barking and Dagenham 013F,E05000038,River,E09000002,Barking and Dagenham,28361
